Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 9 [15360/49000 (31%)]	Train Loss: 1.162166	Val Loss: 1.630911	Val Acc: 48
Train Epoch: 9 [17920/49000 (36%)]	Train Loss: 1.236677	Val Loss: 1.577327	Val Acc: 49
Train Epoch: 9 [20480/49000 (42%)]	Train Loss: 1.059313	Val Loss: 1.516350	Val Acc: 51
Train Epoch: 9 [23040/49000 (47%)]	Train Loss: 0.993092	Val Loss: 1.568977	Val Acc: 51
Train Epoch: 9 [25600/49000 (52%)]	Train Loss: 1.087326	Val Loss: 1.588261	Val Acc: 50
Train Epoch: 9 [28160/49000 (57%)]	Train Loss: 1.109691	Val Loss: 1.557335	Val Acc: 52
Train Epoch: 9 [30720/49000 (62%)]	Train Loss: 1.258439	Val Loss: 1.570079	Val Acc: 52
Train Epoch: 9 [33280/49000 (68%)]	Train Loss: 1.089204	Val Loss: 1.625165	Val Acc: 50
Train Epoch: 9 [35840/49000 (73%)]	Train Loss: 1.179348	Val Loss: 1.709512	Val Acc: 48
Train Epoch: 9 [38400/49000 (78%)]	Train Loss: 1.106157	Val Loss: 1.628647	Val Acc: 50
Train Epoch: 9 [40960/49000 (83%)]	Train Loss: 1.197525	Val Loss: 1.618368	Val Acc: 49
Train Epoch: 9 [43520/49000 (89%)]	Train Loss: 1.122352	Val Loss: 1.678760	Val Acc: 50
Train Epoch: 9 [46080/49000 (94%)]	Train Loss: 1.197453	Val Loss: 1.660351	Val Acc: 48
Train Epoch: 9 [48640/49000 (99%)]	Train Loss: 1.087346	Val Loss: 1.630362	Val Acc: 51
Train Epoch: 10 [0/49000 (0%)]	Train Loss: 0.998641	Val Loss: 1.717583	Val Acc: 49
Train Epoch: 10 [2560/49000 (5%)]	Train Loss: 1.023607	Val Loss: 1.630388	Val Acc: 49
Train Epoch: 10 [5120/49000 (10%)]	Train Loss: 0.897211	Val Loss: 1.529445	Val Acc: 52
Train Epoch: 10 [7680/49000 (16%)]	Train Loss: 0.880175	Val Loss: 1.613966	Val Acc: 51
Train Epoch: 10 [10240/49000 (21%)]	Train Loss: 0.908752	Val Loss: 1.638695	Val Acc: 49
Train Epoch: 10 [12800/49000 (26%)]	Train Loss: 0.976586	Val Loss: 1.668730	Val Acc: 49
Train Epoch: 10 [15360/49000 (31%)]	Train Loss: 1.051390	Val Loss: 1.563382	Val Acc: 52
Train Epoch: 10 [17920/49000 (36%)]	Train Loss: 0.881811	Val Loss: 1.632095	Val Acc: 49
Train Epoch: 10 [20480/49000 (42%)]	Train Loss: 0.864921	Val Loss: 1.591396	Val Acc: 50
Train Epoch: 10 [23040/49000 (47%)]	Train Loss: 0.963590	Val Loss: 1.557898	Val Acc: 52
Train Epoch: 10 [25600/49000 (52%)]	Train Loss: 0.965333	Val Loss: 1.600445	Val Acc: 51
Train Epoch: 10 [28160/49000 (57%)]	Train Loss: 1.061189	Val Loss: 1.664471	Val Acc: 51
Train Epoch: 10 [30720/49000 (62%)]	Train Loss: 0.952280	Val Loss: 1.628398	Val Acc: 51
Train Epoch: 10 [33280/49000 (68%)]	Train Loss: 1.052180	Val Loss: 1.588709	Val Acc: 51
Train Epoch: 10 [35840/49000 (73%)]	Train Loss: 1.029531	Val Loss: 1.634754	Val Acc: 49
Train Epoch: 10 [38400/49000 (78%)]	Train Loss: 1.069880	Val Loss: 1.676859	Val Acc: 50
Train Epoch: 10 [40960/49000 (83%)]	Train Loss: 1.130027	Val Loss: 1.678153	Val Acc: 51
Train Epoch: 10 [43520/49000 (89%)]	Train Loss: 1.091877	Val Loss: 1.738870	Val Acc: 51
Train Epoch: 10 [46080/49000 (94%)]	Train Loss: 1.000225	Val Loss: 1.766846	Val Acc: 49
Train Epoch: 10 [48640/49000 (99%)]	Train Loss: 0.943396	Val Loss: 1.749656	Val Acc: 49
Train Epoch: 11 [0/49000 (0%)]	Train Loss: 0.927519	Val Loss: 1.744539	Val Acc: 49
Train Epoch: 11 [2560/49000 (5%)]	Train Loss: 0.887401	Val Loss: 1.747504	Val Acc: 50
Train Epoch: 11 [5120/49000 (10%)]	Train Loss: 0.894331	Val Loss: 1.683830	Val Acc: 50
Train Epoch: 11 [7680/49000 (16%)]	Train Loss: 1.038045	Val Loss: 1.791759	Val Acc: 46
Train Epoch: 11 [10240/49000 (21%)]	Train Loss: 0.929957	Val Loss: 1.681248	Val Acc: 51
Train Epoch: 11 [12800/49000 (26%)]	Train Loss: 0.969407	Val Loss: 1.672315	Val Acc: 51
Train Epoch: 11 [15360/49000 (31%)]	Train Loss: 1.057480	Val Loss: 1.675877	Val Acc: 50
Train Epoch: 11 [17920/49000 (36%)]	Train Loss: 1.035642	Val Loss: 1.704836	Val Acc: 49
Train Epoch: 11 [20480/49000 (42%)]	Train Loss: 0.841389	Val Loss: 1.708489	Val Acc: 51
Train Epoch: 11 [23040/49000 (47%)]	Train Loss: 1.117948	Val Loss: 1.759604	Val Acc: 49
Train Epoch: 11 [25600/49000 (52%)]	Train Loss: 1.065436	Val Loss: 1.776908	Val Acc: 48
Train Epoch: 11 [28160/49000 (57%)]	Train Loss: 1.186636	Val Loss: 1.791493	Val Acc: 48
Train Epoch: 11 [30720/49000 (62%)]	Train Loss: 1.271647	Val Loss: 1.761623	Val Acc: 50
Train Epoch: 11 [33280/49000 (68%)]	Train Loss: 0.994727	Val Loss: 1.691319	Val Acc: 51
Train Epoch: 11 [35840/49000 (73%)]	Train Loss: 0.986888	Val Loss: 1.706046	Val Acc: 51
Train Epoch: 11 [38400/49000 (78%)]	Train Loss: 0.869850	Val Loss: 1.722793	Val Acc: 47
Train Epoch: 11 [40960/49000 (83%)]	Train Loss: 1.023478	Val Loss: 1.790134	Val Acc: 47
Train Epoch: 11 [43520/49000 (89%)]	Train Loss: 1.178759	Val Loss: 1.675174	Val Acc: 50
Train Epoch: 11 [46080/49000 (94%)]	Train Loss: 0.904247	Val Loss: 1.707716	Val Acc: 49
Train Epoch: 11 [48640/49000 (99%)]	Train Loss: 0.864543	Val Loss: 1.771439	Val Acc: 49
Train Epoch: 12 [0/49000 (0%)]	Train Loss: 0.922769	Val Loss: 1.756819	Val Acc: 49
Train Epoch: 12 [2560/49000 (5%)]	Train Loss: 0.855138	Val Loss: 1.696715	Val Acc: 48
Train Epoch: 12 [5120/49000 (10%)]	Train Loss: 0.760955	Val Loss: 1.655107	Val Acc: 52
Train Epoch: 12 [7680/49000 (16%)]	Train Loss: 0.900097	Val Loss: 1.659418	Val Acc: 51
Train Epoch: 12 [10240/49000 (21%)]	Train Loss: 0.847245	Val Loss: 1.671182	Val Acc: 49
Train Epoch: 12 [12800/49000 (26%)]	Train Loss: 0.796141	Val Loss: 1.615352	Val Acc: 51
Train Epoch: 12 [15360/49000 (31%)]	Train Loss: 0.878622	Val Loss: 1.615157	Val Acc: 51
Train Epoch: 12 [17920/49000 (36%)]	Train Loss: 0.817972	Val Loss: 1.597067	Val Acc: 52
Train Epoch: 12 [20480/49000 (42%)]	Train Loss: 0.712162	Val Loss: 1.607710	Val Acc: 53
Train Epoch: 12 [23040/49000 (47%)]	Train Loss: 0.987614	Val Loss: 1.609270	Val Acc: 52
Train Epoch: 12 [25600/49000 (52%)]	Train Loss: 0.885581	Val Loss: 1.735655	Val Acc: 51
Train Epoch: 12 [28160/49000 (57%)]	Train Loss: 0.961791	Val Loss: 1.688960	Val Acc: 51
Train Epoch: 12 [30720/49000 (62%)]	Train Loss: 0.978159	Val Loss: 1.723546	Val Acc: 50
Train Epoch: 12 [33280/49000 (68%)]	Train Loss: 0.932892	Val Loss: 1.656672	Val Acc: 52
Train Epoch: 12 [35840/49000 (73%)]	Train Loss: 1.055394	Val Loss: 1.688722	Val Acc: 50
Train Epoch: 12 [38400/49000 (78%)]	Train Loss: 1.058912	Val Loss: 1.688059	Val Acc: 49
Train Epoch: 12 [40960/49000 (83%)]	Train Loss: 0.808943	Val Loss: 1.757123	Val Acc: 50
Train Epoch: 12 [43520/49000 (89%)]	Train Loss: 0.951147	Val Loss: 1.720303	Val Acc: 53
Train Epoch: 12 [46080/49000 (94%)]	Train Loss: 1.062410	Val Loss: 1.818406	Val Acc: 50
Train Epoch: 12 [48640/49000 (99%)]	Train Loss: 1.034242	Val Loss: 1.792697	Val Acc: 50
Train Epoch: 13 [0/49000 (0%)]	Train Loss: 0.912815	Val Loss: 1.771215	Val Acc: 51
Train Epoch: 13 [2560/49000 (5%)]	Train Loss: 0.840570	Val Loss: 1.752940	Val Acc: 50
Train Epoch: 13 [5120/49000 (10%)]	Train Loss: 0.943453	Val Loss: 1.741323	Val Acc: 50
Train Epoch: 13 [7680/49000 (16%)]	Train Loss: 0.900437	Val Loss: 1.680553	Val Acc: 52
Train Epoch: 13 [10240/49000 (21%)]	Train Loss: 0.782689	Val Loss: 1.605976	Val Acc: 52
Train Epoch: 13 [12800/49000 (26%)]	Train Loss: 0.837472	Val Loss: 1.730177	Val Acc: 52
Train Epoch: 13 [15360/49000 (31%)]	Train Loss: 0.889011	Val Loss: 1.747090	Val Acc: 50
