Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 9 [33280/49000 (68%)]	Train Loss: 7.803686	Val Loss: 8.316622	Val Acc: 14
Train Epoch: 9 [35840/49000 (73%)]	Train Loss: 8.010384	Val Loss: 9.038649	Val Acc: 14
Train Epoch: 9 [38400/49000 (78%)]	Train Loss: 9.726092	Val Loss: 9.110055	Val Acc: 16
Train Epoch: 9 [40960/49000 (83%)]	Train Loss: 8.244952	Val Loss: 8.384323	Val Acc: 14
Train Epoch: 9 [43520/49000 (89%)]	Train Loss: 8.188907	Val Loss: 8.961696	Val Acc: 11
Train Epoch: 9 [46080/49000 (94%)]	Train Loss: 8.325267	Val Loss: 9.034157	Val Acc: 15
Train Epoch: 9 [48640/49000 (99%)]	Train Loss: 7.368909	Val Loss: 8.442195	Val Acc: 14
Train Epoch: 10 [0/49000 (0%)]	Train Loss: 37.656338	Val Loss: 8.250836	Val Acc: 15
Train Epoch: 10 [2560/49000 (5%)]	Train Loss: 7.227050	Val Loss: 8.944328	Val Acc: 12
Train Epoch: 10 [5120/49000 (10%)]	Train Loss: 8.241515	Val Loss: 9.233913	Val Acc: 13
Train Epoch: 10 [7680/49000 (16%)]	Train Loss: 8.458907	Val Loss: 9.048088	Val Acc: 13
Train Epoch: 10 [10240/49000 (21%)]	Train Loss: 8.047115	Val Loss: 8.073007	Val Acc: 13
Train Epoch: 10 [12800/49000 (26%)]	Train Loss: 8.570732	Val Loss: 8.922432	Val Acc: 12
Train Epoch: 10 [15360/49000 (31%)]	Train Loss: 8.288654	Val Loss: 8.699388	Val Acc: 12
Train Epoch: 10 [17920/49000 (36%)]	Train Loss: 9.073703	Val Loss: 9.092726	Val Acc: 14
Train Epoch: 10 [20480/49000 (42%)]	Train Loss: 7.670865	Val Loss: 8.927122	Val Acc: 14
Train Epoch: 10 [23040/49000 (47%)]	Train Loss: 6.981992	Val Loss: 8.616869	Val Acc: 13
Train Epoch: 10 [25600/49000 (52%)]	Train Loss: 8.743929	Val Loss: 8.286731	Val Acc: 12
Train Epoch: 10 [28160/49000 (57%)]	Train Loss: 9.029667	Val Loss: 8.712140	Val Acc: 13
Train Epoch: 10 [30720/49000 (62%)]	Train Loss: 7.510129	Val Loss: 8.094720	Val Acc: 14
Train Epoch: 10 [33280/49000 (68%)]	Train Loss: 7.407073	Val Loss: 8.433117	Val Acc: 14
Train Epoch: 10 [35840/49000 (73%)]	Train Loss: 7.191814	Val Loss: 7.769632	Val Acc: 12
Train Epoch: 10 [38400/49000 (78%)]	Train Loss: 7.271785	Val Loss: 8.085208	Val Acc: 15
Train Epoch: 10 [40960/49000 (83%)]	Train Loss: 7.867095	Val Loss: 8.244089	Val Acc: 14
Train Epoch: 10 [43520/49000 (89%)]	Train Loss: 7.219861	Val Loss: 9.000442	Val Acc: 13
Train Epoch: 10 [46080/49000 (94%)]	Train Loss: 7.091499	Val Loss: 8.484595	Val Acc: 14
Train Epoch: 10 [48640/49000 (99%)]	Train Loss: 8.367000	Val Loss: 9.332467	Val Acc: 15
Train Epoch: 11 [0/49000 (0%)]	Train Loss: 39.631943	Val Loss: 8.728734	Val Acc: 15
Train Epoch: 11 [2560/49000 (5%)]	Train Loss: 8.193367	Val Loss: 9.778599	Val Acc: 14
Train Epoch: 11 [5120/49000 (10%)]	Train Loss: 9.042880	Val Loss: 9.286859	Val Acc: 12
Train Epoch: 11 [7680/49000 (16%)]	Train Loss: 8.123063	Val Loss: 8.252482	Val Acc: 13
